epoch,accuracy,loss,val_accuracy,val_loss
0,0.4533628523349762,1.2262135744094849,0.5504322648048401,1.1102724075317383
1,0.6238582730293274,0.8857184052467346,0.530259370803833,1.1016446352005005
2,0.7071685791015625,0.7391682863235474,0.5360230803489685,1.154152274131775
3,0.769997239112854,0.5905569791793823,0.5936599373817444,1.16690194606781
4,0.8126211166381836,0.485357403755188,0.5936599373817444,1.1788887977600098
5,0.8541378378868103,0.4012916684150696,0.5965417623519897,1.2425495386123657
6,0.8760033249855042,0.3282598555088043,0.5533141493797302,1.3987928628921509
7,0.9000830054283142,0.27679938077926636,0.5648415088653564,1.5737601518630981
8,0.9114309549331665,0.24921093881130219,0.5706051588058472,1.6559449434280396
9,0.9272072911262512,0.19597767293453217,0.5878962278366089,1.68653404712677
10,0.9399390816688538,0.16470937430858612,0.5821325778961182,1.772558331489563
11,0.9532244801521301,0.13837037980556488,0.5994236469268799,1.8495110273361206
12,0.9568225741386414,0.12878446280956268,0.5475504398345947,2.024714231491089
13,0.9634652733802795,0.10997327417135239,0.579250693321228,2.0095043182373047
14,0.9418765306472778,0.15806950628757477,0.5648415088653564,2.1819448471069336
15,0.952117383480072,0.14134003221988678,0.5850144028663635,2.125976085662842
16,0.9620813727378845,0.10928425937891006,0.5706051588058472,2.052593469619751
17,0.9681705236434937,0.09703700989484787,0.5533141493797302,2.213022232055664
18,0.9706615209579468,0.08894836902618408,0.5648415088653564,2.3053653240203857
19,0.9626349210739136,0.10274165123701096,0.5561959743499756,2.346738338470459
20,0.973429262638092,0.0771905779838562,0.5446686148643494,2.783078193664551
21,0.9703847169876099,0.07730614393949509,0.5561959743499756,2.565939426422119
22,0.9745364189147949,0.07511359453201294,0.5533141493797302,2.5183396339416504
23,0.975643515586853,0.06892234832048416,0.5878962278366089,2.5541176795959473
24,0.974259614944458,0.06562527269124985,0.5706051588058472,2.540259599685669
