epoch,accuracy,loss,val_accuracy,val_loss
0,0.37226682901382446,1.318447470664978,0.4639769494533539,1.2667144536972046
1,0.6703570485115051,0.956024169921875,0.6829971075057983,0.8985133171081543
2,0.794353723526001,0.5724554657936096,0.7118155360221863,0.7857044339179993
3,0.8533074855804443,0.41373565793037415,0.7031700015068054,0.8031224608421326
4,0.8826460242271423,0.32657256722450256,0.6945244669914246,0.8299824595451355
5,0.9078328013420105,0.2740556299686432,0.6743515729904175,0.918621301651001
6,0.9255466461181641,0.2252197414636612,0.680115282535553,0.9375305771827698
7,0.9332964420318604,0.19777947664260864,0.6685879230499268,1.0046906471252441
8,0.948519229888916,0.16376113891601562,0.6829971075057983,1.0767037868499756
9,0.9537780284881592,0.14883029460906982,0.6772334575653076,1.1265290975570679
10,0.9637420177459717,0.12670527398586273,0.6772334575653076,1.1385811567306519
11,0.9662330746650696,0.11578533053398132,0.6887608170509338,1.209686279296875
12,0.9681705236434937,0.10922550410032272,0.6599423885345459,1.2897402048110962
13,0.9698311686515808,0.10229577869176865,0.6570605039596558,1.3077012300491333
14,0.9673401713371277,0.10011447221040726,0.6599423885345459,1.376474380493164
15,0.972045361995697,0.0922558531165123,0.6945244669914246,1.3515126705169678
16,0.971491813659668,0.08733030408620834,0.6599423885345459,1.4297871589660645
17,0.975089967250824,0.0856485366821289,0.680115282535553,1.4483258724212646
18,0.9753667116165161,0.07840488106012344,0.6685879230499268,1.5112266540527344
19,0.9745364189147949,0.08271472156047821,0.6628242135047913,1.4945636987686157
20,0.9753667116165161,0.07513432949781418,0.6628242135047913,1.5306984186172485
21,0.9767506122589111,0.06903792917728424,0.6628242135047913,1.6057695150375366
22,0.9767506122589111,0.06928063184022903,0.6743515729904175,1.522397756576538
23,0.9775809645652771,0.06628788262605667,0.6657060384750366,1.6142489910125732
24,0.9767506122589111,0.07234735786914825,0.6599423885345459,1.6189427375793457
